speaker,label,type,utterance
139242149,REQ,OP, @GAEBONY Were you able to try removing the hard drive?
153951413,ANSW,OP, @XboxSupport2 I've never removed anything off it!
153951413,ANSW,OP, Don't even know where to find any of that!
153951413,ANSW,OP, Only had it since last November
139242149,ANSW,OP," @GAEBONY To clarify, not remove any files off of it but physically take out the hard drive."
153951413,REQ,OP, @XboxSupport2 how do I take that off...
153951413,REQ,OP, on the inside???
139242149,REQ,OP, @GAEBONY Which model console do you have?
139242149,REQ,OP, GB or something different?
153951413,ANSW,OP,@XboxSupport2 4GB
139242149,REQ,OP, @GAEBONY Can you try clearing your cache and resetting the console?
139242149,ANSW,OP, Here's how: http://t.co/08EQg1GR ^BB
153951413,ANSW,OP,@XboxSupport2 I figured it out and it let me do it but its still saying reinsert the memory device
139242149,REQ,OP, @GAEBONY Do you have anything else plugged into the console normally?
139242149,REQ,OP, Like a usb drive or anything?
153951413,ANSW,OP,@XboxSupport2 yes I'm still getting the error message and I had a USB remote connected to it but now useing the wireless remote
139242149,REQ,OP," @GAEBONY And you've rebooted the console, yes?"
153951413,ANSW,OP,@XboxSupport2 correct
139242149,REQ,OP, @GAEBONY When does the error come up?
153951413,ANSW,OP,"@XboxSupport2 when i ttry to play a movie, it will start then the error comes up"
139242149,REQ,OP, @GAEBONY Is it only when playing movies?
153951413,ANSW,OP, @XboxSupport2 I didn't try no games...
153951413,REQ,OP, do you want me to see if it will play a video game??
153951413,ANSW,OP,"@XboxSupport2 to answer ur question yes it only does it with movies, my Madden loaded up with no problem"
139242149,ANSW,OP," @GAEBONY Sure, that'd be great."
139242149,REQ,OP, Let us know if any errors come up.
153951413,ANSW,OP,@XboxSupport2 no error
139242149,REQ,OP," @GAEBONY Alright, does it happen with multiple movies?"
153951413,ANSW,OP,@XboxSupport2 I tried two different movies and it did it with both of them
139242149,REQ,OP, @GAEBONY And is the movie streaming off Zune?
139242149,REQ,OP, Purchased?
139242149,REQ,OP, Played off a storage device?
153951413,ANSW,OP,@XboxSupport2 no store brought movie
139242149,REQ,OP, @GAEBONY Is it on DVD?
153951413,ANSW,OP,@XboxSupport2 yes
153951413,ANSW,OP,@XboxSupport2 also the same DVDs I tried to play I've played them on the Xbox numerous times prior to today
139242149,REQ,OP, @GAEBONY So the console won't play DVD's but will play games?
139242149,ANSW,OP,@GAEBONY Let's try the steps out here: http://t.co/s6wOyprq  ^BB
153951413,ANSW,OP,@XboxSupport2 correct no DVDs but games
153951413,ANSW,OP,@XboxSupport2 that didn't wrk when I got the end it said my Xbox need to be serviced!
139242149,ANSW,OP,"@GAEBONY Hmm, it may be if it's not able to play those discs, but then again if it plays Xbox 360 games with no issues possibly the discs^BB"
153951413,ANSW,OP,@XboxSupport2 I tried the movie the temptations and it still giving me that error and that's the third movie so idk
139242149,REQ,OP, @GAEBONY How old is the console?
153951413,ANSW,OP,@XboxSupport2 I brought it last November 2011 brand new from Walmart
139242149,ANSW,OP," @GAEBONY It should be under warranty at least, so the repair would be covered."
153951413,REQ,OP,@XboxSupport2 ok how do I go about getting the warranty to repair it???

458891860,REQ,OP,@XboxSupport2 Are you having a problem tonight with game invites and viewing what games friends are on?
139242149,ANSW,SV, @Dan__Shaw Yessir!
139242149,ANSW,SV, Keep checking for updates here: http://t.co/VsaMajFx ^BA

139242149,REQ,OP, @Cobryza Do you have any other controllers to test with?
25611423,ANSW,OP, @XboxSupport2 Yeah and same batteries don't disconnect it.
25611423,REQ,OP, Loose connection somewhere maybe?
139242149,ANSW,OP, @Cobryza Sounds like it's that controller then.
139242149,REQ,OP, Have you tried resyncing it?
25611423,ANSW,SV," @XboxSupport2 Think I've diagnosed the problem, the batteries were charged fine it just had loose connection with controller."
25611423,COMPLIM,SV, :-)

139242149,REQ,OP, @ArmsAkimbo And it's 4 years old?
139242149,ANSW,OP, Unfortunately it sounds like it needs to be repaired.
139242149,ANNOU,OP, Here's a link for info: http://t.co/yYZp6iG3 ^BB
35161752,ANSW,SV, @XboxSupport2 Yeah I figured.
35161752,THK,SV, Thank you!
139242149,RESPOS,SV," @ArmsAkimbo You're welcome, let us know if we can help with anything else."

139242149,REQ,OP, @ProfessorGenki5 Have you given our phone support a call?
139242149,ANNOU,OP, They can definitely help if it's a billing issue.
545608560,ANSW,OP,@XboxSupport2  I don't know the number.
139242149,REQ,OP, @ProfessorGenki5 What country are you in?
545608560,ANSW,OP,@XboxSupport2 USA

139242149,REQ,OP, @Mr_Hardstyle1 Are you getting a specific error message?
